profile,ic,spread,top1_hit_rate,top3_contains_true_top1,top3_overlap,windows
18etf_plain_multitask_gp,0.13949088407292742,0.0053317345113737535,0.16666666666666666,0.2916666666666667,0.25,24
xgb_regalpha0_lexicographic,0.16568322578682293,-0.0027241944884425773,0.125,0.2916666666666667,0.3055555555555556,24
xgb_regalpha0_hypervolume,0.12564499484004127,0.006622418506195156,0.0,0.25,0.2222222222222222,24
xgb_prior_tpe500_regalpha_tuned,0.1658,0.0142,0.125,0.3333,0.2361,24
