profile,mean_window_spearman,long_short_top1_bottom1_mean,top1_hit_rate,top3_contains_true_top1,top3_overlap
18-ETF true-task multitask GP rank5,0.1814585483316133,0.0167546388893964,0.375,0.375,0.2916666666666667
"18-ETF prior GP artifact, task kernel dropped",0.1394908840729274,0.0053317345113737,0.16666666666666666,0.2916666666666667,0.25
XGB reg-alpha-zero lexicographic,0.1656832257868229,-0.0027241944884425,0.125,0.2916666666666667,0.3055555555555555
XGB reg-alpha-zero hypervolume,0.1256449948400412,0.0066224185061951,0.0,0.25,0.2222222222222222
XGB prior TPE500 reg-alpha tuned,0.1658066735466116,0.0141856589331918,0.125,0.3333333333333333,0.23611111111111108
